"","value","n"
"1","                       ",132
"2","                        ",1084
"3","800.00",1
"4","800.10",1
"5","800.20",1
"6","800.26",2
"7","801.00",4
"8","801.20",3
"9","801.26",3
"10","801.56",1
"11","802.00",4
"12","802.1",1
"13","802.4",1
"14","802.40",7
"15","802.6",1
"16","802.60",13
"17","802.80",5
"18","805.04",1
"19","805.06",1
"20","805.20",1
"21","805.40",3
"22","810.00",1
"23","810.02",1
"24","810.03",1
"25","811.09",1
"26","813.40",1
"27","821.00",1
"28","821.01",1
"29","822.00",1
"30","839.03",1
"31","850.90",1
"32","851.00",1
"33","852.00",1
"34","852.06",1
"35","852.09",1
"36","852.20",2
"37","852.26",1
"38","853.00",3
"39","860.00",1
"40","870",1
"41","870.00",2
"42","873.00",1
"43","873.2",1
"44","873.30",1
"45","873.40",1
"46","873.52",1
"47","873.65",1
"48","874.90",1
"49","879.80",1
"50","883.00",1
"51","891.00",4
"52","910.00",3
"53","916.00",3
"54","918.90",1
"55","919.00",3
"56","920.0",1
"57","921.10",2
"58","922.31",1
"59","923.11",1
"60","924.90",1
"61","G93.89                 ",2
"62","S00.01XA               ",1
"63","S00.01XA                ",2
"64","S00.03XA               ",2
"65","S00.03XA                ",8
"66","S00.10XA                ",1
"67","S00.11XA                ",4
"68","S00.12XA               ",2
"69","S00.12XA                ",7
"70","S00.211A               ",2
"71","S00.31XA               ",1
"72","S00.31XA                ",1
"73","S00.33XA                ",3
"74","S00.81XA               ",1
"75","S00.81XA                ",2
"76","S00.83XA               ",1
"77","S00.83XA                ",7
"78","S01.01XA               ",2
"79","S01.01XA                ",1
"80","S01.02XA                ",1
"81","S01.112A                ",3
"82","S01.21XA                ",4
"83","S01.411A                ",1
"84","S01.511A               ",1
"85","S01.512A                ",1
"86","S01.81XA               ",5
"87","S01.81XA                ",5
"88","S01.91XA                ",1
"89","S02.0XXA               ",37
"90","S02.0XXA                ",11
"91","S02.0XXB               ",9
"92","S02.101A               ",1
"93","S02.101A                ",3
"94","S02.101B                ",1
"95","S02.102A               ",3
"96","S02.102A                ",6
"97","S02.109A               ",3
"98","S02.109A                ",1
"99","S02.121A               ",1
"100","S02.121B               ",1
"101","S02.122A               ",7
"102","S02.122A                ",1
"103","S02.19XA               ",20
"104","S02.19XA                ",1
"105","S02.19XB               ",1
"106","S02.19XB                ",1
"107","S02.2XXA               ",19
"108","S02.2XXA                ",4
"109","S02.30XA               ",2
"110","S02.31XA               ",9
"111","S02.31XA                ",2
"112","S02.32XA               ",13
"113","S02.32XA                ",4
"114","S02.3XXA               ",1
"115","S02.401A               ",5
"116","S02.401A                ",3
"117","S02.40CA               ",5
"118","S02.40CA                ",5
"119","S02.40DA               ",10
"120","S02.40DA                ",4
"121","S02.40EA               ",6
"122","S02.40EA                ",3
"123","S02.40FA               ",8
"124","S02.40FA                ",1
"125","S02.412A               ",2
"126","S02.413A                ",1
"127","S02.42XA                ",1
"128","S02.5XXA               ",2
"129","S02.5XXA                ",3
"130","S02.602A                ",1
"131","S02.609A                ",2
"132","S02.642A                ",1
"133","S02.80XA               ",1
"134","S02.81XA               ",4
"135","S02.82XA               ",4
"136","S02.82XA                ",1
"137","S02.831A               ",3
"138","S02.832A               ",4
"139","S02.832A                ",3
"140","S02.839A               ",1
"141","S02.841A               ",4
"142","S02.841A                ",2
"143","S02.842A               ",5
"144","S02.842A                ",1
"145","S02.85XA               ",8
"146","S03.01XA                ",1
"147","S03.2XXA                ",1
"148","S04.42XA               ",1
"149","S05.01XA                ",1
"150","S05.11XA                ",2
"151","S05.12XA               ",1
"152","S05.12XA                ",2
"153","S05.71XA                ",1
"154","S05.8X1A                ",1
"155","S05.91XA               ",2
"156","S05.91XA                ",1
"157","S05.92XA                ",5
"158","S06.0X9A               ",1
"159","S06.1X1A               ",1
"160","S06.1X4A               ",1
"161","S06.1X7A                ",1
"162","S06.1X9A               ",2
"163","S06.2X4A               ",1
"164","S06.311A               ",2
"165","S06.319A               ",1
"166","S06.320A               ",1
"167","S06.321A               ",2
"168","S06.329A               ",2
"169","S06.339A               ",2
"170","S06.340A               ",3
"171","S06.349A               ",1
"172","S06.350A               ",1
"173","S06.351A               ",1
"174","S06.359A               ",4
"175","S06.360A               ",3
"176","S06.369A               ",4
"177","S06.369A                ",1
"178","S06.371A               ",1
"179","S06.380A               ",1
"180","S06.384A               ",1
"181","S06.389A               ",3
"182","S06.4X0A               ",1
"183","S06.4X1A               ",1
"184","S06.4X4A               ",1
"185","S06.4X9A               ",2
"186","S06.5X0A               ",10
"187","S06.5X1A               ",5
"188","S06.5X7A               ",2
"189","S06.5X9A               ",6
"190","S06.5X9A                ",1
"191","S06.6X0A               ",8
"192","S06.6X1A               ",5
"193","S06.6X7A               ",1
